row_id,top_factors_shap,lime_top
0,"[[""feat_2"", -0.19411467081066477], [""feat_3"", 0.16177326610199655], [""feat_4"", 0.0667130703794199], [""feat_0"", 0.05980897015052031], [""feat_5"", -0.020130796994208715]]","[[""feat_2 > 1.03"", -0.3498950986033595], [""feat_3 <= 0.03"", 0.2041073138118209], [""feat_4 > 1.47"", 0.11910341300874056], [""0.17 < feat_0 <= 1.23"", 0.05314040415645695], [""-0.57 < feat_5 <= -0.14"", -0.02561703979586086]]"
1,"[[""feat_2"", 0.3100813342373428], [""feat_3"", -0.12405534544244516], [""feat_6"", 0.052637651274566606], [""feat_5"", -0.04840968834289083], [""feat_4"", -0.03103275677545067]]","[[""feat_2 <= -0.27"", 0.3836828133503261], [""feat_3 > 2.08"", -0.22515467286894877], [""0.17 < feat_0 <= 1.23"", 0.07508459496613577], [""feat_5 <= -0.57"", -0.056636841075213315], [""feat_6 > 0.69"", 0.04283088258630423]]"
2,"[[""feat_2"", 0.2683260655006159], [""feat_0"", 0.1302613375377825], [""feat_3"", 0.05669324511268269], [""feat_4"", -0.030114575372245194], [""feat_1"", -0.017708033979371856]]","[[""feat_0 > 1.23"", 0.3918936014464258], [""feat_2 <= -0.27"", 0.3809480847084075], [""feat_4 <= -0.41"", -0.11184118462099281], [""0.03 < feat_3 <= 0.92"", 0.049494291135217645], [""feat_1 <= 0.12"", -0.028917319629090138]]"
3,"[[""feat_0"", 0.21273495252640362], [""feat_4"", 0.11230842652887271], [""feat_2"", -0.11229646110236674], [""feat_3"", 0.09638546905825056], [""feat_5"", 0.06669342963942232]]","[[""feat_0 > 1.23"", 0.39029688568439275], [""feat_2 > 1.03"", -0.3557165980967521], [""feat_3 <= 0.03"", 0.22120586269019474], [""feat_4 > 1.47"", 0.1271819158903424], [""feat_5 > 0.57"", 0.09014020821604868]]"
4,"[[""feat_3"", 0.11431626345963247], [""feat_2"", -0.09128848042367775], [""feat_4"", 0.03325127331739763], [""feat_6"", -0.02757303601514878], [""feat_5"", 0.026062826390341614]]","[[""0.10 < feat_2 <= 1.03"", -0.08715329772409079], [""0.17 < feat_0 <= 1.23"", 0.06024158107103037], [""0.03 < feat_3 <= 0.92"", 0.048482185060646645], [""feat_6 <= -0.75"", -0.02891739425282378], [""0.38 < feat_4 <= 1.47"", 0.020051076832035226]]"
5,"[[""feat_2"", 0.14587622248419382], [""feat_3"", 0.05588639264602402], [""feat_0"", 0.04609785395441036], [""feat_5"", -0.03702465465438857], [""feat_6"", -0.020671419558542646]]","[[""feat_2 <= -0.27"", 0.3688596072321743], [""feat_5 <= -0.57"", -0.08510035221135216], [""0.03 < feat_3 <= 0.92"", 0.07725281769441356], [""0.17 < feat_0 <= 1.23"", 0.07355248475823623], [""feat_6 <= -0.75"", -0.03901307627145288]]"
6,"[[""feat_2"", -0.1454452483510218], [""feat_3"", -0.08625813913662814], [""feat_4"", 0.06875388496905074], [""feat_5"", 0.055433351188767604], [""feat_6"", 0.03944224442719794]]","[[""feat_4 > 1.47"", 0.12836776318718815], [""0.10 < feat_2 <= 1.03"", -0.08614014592137745], [""0.17 < feat_0 <= 1.23"", 0.07040573615857193], [""feat_5 > 0.57"", 0.06968562434811548], [""0.92 < feat_3 <= 2.08"", -0.06351401714857836]]"
7,"[[""feat_0"", -0.30614596399916455], [""feat_3"", -0.09575530882254098], [""feat_4"", -0.04222545834898677], [""feat_5"", -0.03999991510546603], [""feat_2"", -0.022574282841662848]]","[[""feat_0 <= -1.03"", -0.34402008107408816], [""feat_3 > 2.08"", -0.2104971423732768], [""feat_4 <= -0.41"", -0.09313051551355275], [""-0.27 < feat_2 <= 0.10"", 0.060837813108298645], [""feat_5 <= -0.57"", -0.05582045358986245]]"
8,"[[""feat_2"", -0.2940942919372629], [""feat_0"", -0.13409994979859383], [""feat_3"", -0.08184840126894297], [""feat_5"", -0.04541734545517648], [""feat_6"", -0.022794182971268975]]","[[""feat_2 > 1.03"", -0.34001344736228845], [""feat_3 > 2.08"", -0.21639001717582487], [""-1.03 < feat_0 <= 0.17"", -0.12046706485010948], [""feat_5 <= -0.57"", -0.04661053083634195], [""-0.41 < feat_4 <= 0.38"", -0.03311801078738517]]"
9,"[[""feat_3"", 0.1947969022914255], [""feat_2"", -0.09697727047863078], [""feat_0"", -0.09428894655161], [""feat_4"", 0.029583783571812003], [""feat_6"", -0.01983137507167324]]","[[""feat_3 <= 0.03"", 0.24359862159552148], [""-1.03 < feat_0 <= 0.17"", -0.12876352938285962], [""0.10 < feat_2 <= 1.03"", -0.09627274556962052], [""feat_6 <= -0.75"", -0.03826894917930109], [""-0.14 < feat_5 <= 0.57"", 0.023441083772776757]]"
